chaman aller-voir-createur 
chaman demander-comment-viellards-rajeunir 
chaman demander-comment-faire-bourgeonner-arbres 
chaman creer-premier-homme 
premier-habitant posseder-penis-toujours-en-erection 
premier-habitant arroser-penis-avec-soupe-manioc 
serpent savoir-comment-ramollir-penis 
permiere-femme apprendre 
permiere-femme tuer-serpent 
premiere-femme livrer-secret-penis 
premier-habitant apprendre 
permiere-femme inviter-au-coit-avec-bruit-calebasse-dans-eau 
chaman se-mettre-en-colere 
chaman dire-hommes-avoir-penis-mou 
chaman dire-hommes-avoir-enfants 
chaman dire-hommes-mourir 
