Pud-Pudlere vivre-avec-hommes 
Pud-Pudlere donner-feu 
Pud-Pudlere quitter-terre 
Pud-Pudlere emporter-feu 
Hommes manger-viande-crue 
homme demander-aras-sommet-falaise 
Beau-frere accompagner 
homme placer-perche 
homme demander-grimper 
homme retirer-perche 
Beau-frere prisonnier-sommet-falaise 
Beau-frere maigrir 
Beau-frere etre-recouvert-fiente 
Jaguar aider-descendre 
Jaguar amener-riviere-boire 
Jaguar vouloir-adopter 
Jaguar montrer-feu 
Beau-frere manger-viande-rotie 
Femme-jaguar ne-pas-supporter-bruit 
Beau-frere faire-bruit-en-mastiquant 
Jaguar partir-chasser 
Beau-frere vouloir-manger 
Femme-Jaguar refuser 
Jaguar donner-arc 
Beau-frere blesser-pate 
Beau-frere s-enfuir 
Femme-jaguar ne-pas-suivre 
Villageois chercher-feu 
Villageois prendre-braise-par-course-relai 
Femme-jaguar vouloir-braise 
crapaud eteindre-braises 
