0 10000 5000 5000
1 10000 5000 5000
2 10000 5000 5000
3 10000 5000 5000
4 10000 5000 5000
5 10000 5000 5000
6 10000 5000 5000
7 10000 5000 5000
8 20000 10000 10000
9 20000 10000 10000
10 20000 10000 10000
11 20000 10000 10000
12 30000 15000 15000
13 30000 15000 15000
14 30000 15000 15000
15 30000 15000 15000
16 30000 15000 15000
17 30000 15000 15000
18 40000 20000 20000
19 40000 20000 20000
20 40000 20000 20000
21 40000 20000 20000
22 40000 20000 20000
23 40000 20000 20000
24 40000 20000 20000
25 40000 20000 20000
26 80000 40000 40000
27 80000 40000 40000
28 80000 40000 40000
29 80000 40000 40000
30 90000 45000 45000
31 90000 45000 45000
32 90000 45000 45000
33 90000 45000 45000
34 70000 35000 35000
35 70000 35000 35000
36 70000 35000 35000
37 70000 35000 35000
38 50000 25000 25000
39 50000 25000 25000
40 50000 25000 25000
41 50000 25000 25000
42 50000 25000 25000
43 30000 15000 15000
44 30000 15000 15000
45 30000 15000 15000
46 30000 15000 15000
47 30000 15000 15000
48 10000 5000 5000
49 10000 5000 5000
50 10000 5000 5000
51 10000 5000 5000
